Area (sqft),Bedrooms,Bathrooms,Floors,Age (years),Location Quality,Price (USD)
2185.43,3.0,2.0,2.0,9.0,9.0,330291.42
4778.21,,1.0,2.0,6.0,3.0,536659.31
3793.97,4.0,2.0,1.0,36.0,2.0,
3193.96,3.0,2.0,2.0,31.0,4.0,374959.94
1202.08,5.0,3.0,,44.0,5.0,215461.74
1201.98,3.0,2.0,1.0,21.0,7.0,223395.84
761.38,5.0,3.0,1.0,15.0,7.0,190209.21
4397.79,3.0,3.0,2.0,23.0,9.0,566354.16
3205.02,5.0,3.0,2.0,13.0,8.0,435813.04
3686.33,3.0,1.0,2.0,10.0,2.0,419007.56
592.63,3.0,3.0,2.0,18.0,8.0,178275.13
4864.59,2.0,2.0,1.0,22.0,8.0,590565.66
4245.99,5.0,1.0,2.0,33.0,5.0,526645.75
1455.53,5.0,1.0,2.0,39.0,3.0,203686.34
1318.21,5.0,1.0,2.0,12.0,9.0,260647.54
1325.32,1.0,1.0,,38.0,7.0,225813.12
1869.09,3.0,1.0,1.0,43.0,1.0,212826.06
2861.4,5.0,1.0,2.0,27.0,8.0,391574.23
2443.75,1.0,1.0,1.0,39.0,5.0,305558.78
1810.53,2.0,3.0,1.0,15.0,,265202.93
3253.34,5.0,2.0,1.0,49.0,9.0,459527.4
1127.72,5.0,2.0,1.0,27.0,,234519.19
1814.65,1.0,3.0,1.0,,3.0,231254.39
2148.63,3.0,3.0,2.0,27.0,5.0,288991.22
2552.31,2.0,1.0,1.0,11.0,4.0,314594.49
4033.29,5.0,1.0,1.0,15.0,1.0,447883.98
1398.53,3.0,3.0,1.0,48.0,5.0,206805.5
2814.05,2.0,1.0,2.0,35.0,7.0,375262.44
3165.87,4.0,2.0,,19.0,1.0,366439.51
709.03,4.0,,2.0,25.0,4.0,149318.63
3233.95,2.0,1.0,1.0,25.0,6.0,405973.08
1267.36,1.0,1.0,1.0,,9.0,217638.86
,2.0,,2.0,8.0,8.0,
4769.98,2.0,2.0,2.0,4.0,2.0,523600.71
4845.34,1.0,1.0,2.0,16.0,3.0,522989.57
4137.79,1.0,3.0,1.0,48.0,5.0,488200.6
1870.76,3.0,1.0,2.0,33.0,7.0,286531.16
939.52,3.0,3.0,2.0,1.0,3.0,158717.13
3579.05,1.0,1.0,2.0,6.0,7.0,436026.96
2480.69,4.0,1.0,2.0,35.0,5.0,332616.98
1049.17,4.0,2.0,2.0,12.0,6.0,192697.1
2728.3,2.0,3.0,1.0,19.0,6.0,360174.43
654.75,5.0,3.0,2.0,29.0,4.0,141576.19
4591.94,2.0,3.0,1.0,29.0,8.0,561475.41
1664.51,2.0,2.0,2.0,10.0,9.0,269387.2
,5.0,,2.0,30.0,2.0,426956.75
1902.7,1.0,2.0,1.0,2.0,9.0,311993.09
2840.31,4.0,,1.0,1.0,4.0,345760.63
2960.2,2.0,1.0,1.0,47.0,6.0,371250.6
1331.85,5.0,,1.0,2.0,7.0,237427.82
4863.13,3.0,1.0,2.0,14.0,4.0,557730.58
3988.1,2.0,1.0,1.0,16.0,8.0,486769.75
4727.75,4.0,,2.0,47.0,8.0,602550.76
4526.72,1.0,1.0,2.0,6.0,1.0,484581.61
3190.55,2.0,3.0,2.0,47.0,8.0,422999.5
4648.43,2.0,3.0,1.0,4.0,3.0,
898.22,5.0,1.0,1.0,33.0,5.0,169666.86
1381.92,,1.0,1.0,32.0,8.0,227552.79
703.52,3.0,1.0,2.0,44.0,6.0,160801.09
1963.99,1.0,1.0,1.0,15.0,4.0,251458.83
2249.05,,1.0,1.0,36.0,4.0,297348.63
1721.07,1.0,2.0,2.0,2.0,4.0,212210.8
4229.32,2.0,1.0,1.0,46.0,6.0,493892.79
2105.39,2.0,2.0,2.0,47.0,7.0,303619.65
1764.21,3.0,3.0,1.0,42.0,5.0,256986.4
2942.13,4.0,1.0,1.0,49.0,8.0,394638.02
1134.16,5.0,1.0,1.0,20.0,7.0,211204.68
4109.89,4.0,1.0,1.0,40.0,8.0,535562.68
835.48,2.0,3.0,1.0,7.0,4.0,158580.58
4940.99,5.0,2.0,2.0,21.0,8.0,616123.74
3975.1,4.0,2.0,1.0,4.0,6.0,503075.72
1394.22,4.0,1.0,1.0,16.0,,190631.48
524.85,5.0,1.0,1.0,36.0,8.0,147407.17
4169.58,2.0,1.0,1.0,13.0,7.0,513429.79
3680.86,4.0,1.0,1.0,38.0,5.0,
,5.0,3.0,1.0,,4.0,472660.24
3970.72,2.0,1.0,1.0,27.0,1.0,434652.11
833.2,5.0,3.0,2.0,30.0,3.0,136093.54
2113.1,5.0,1.0,2.0,,2.0,266833.34
1021.41,4.0,2.0,1.0,34.0,8.0,223107.06
4383.97,2.0,2.0,2.0,39.0,8.0,523044.41
3304.84,4.0,,1.0,21.0,5.0,409944.6
1989.04,1.0,1.0,2.0,44.0,5.0,264682.97
786.01,,3.0,1.0,47.0,4.0,137653.33
1899.42,2.0,1.0,1.0,28.0,1.0,213866.57
1963.32,5.0,1.0,2.0,9.0,1.0,254515.14
3783.23,4.0,1.0,1.0,17.0,6.0,449977.72
3369.01,4.0,2.0,2.0,34.0,4.0,418412.1
,2.0,3.0,1.0,43.0,4.0,519238.76
2624.97,2.0,2.0,1.0,15.0,3.0,329514.18
1038.17,1.0,3.0,1.0,49.0,9.0,203535.59
3709.6,3.0,2.0,1.0,48.0,3.0,438127.13
3923.53,2.0,1.0,2.0,,8.0,480268.71
3025.75,3.0,2.0,1.0,29.0,2.0,345471.0
3969.35,2.0,2.0,2.0,18.0,4.0,451703.15
2722.08,5.0,3.0,2.0,22.0,1.0,337055.35
2852.3,5.0,3.0,1.0,7.0,5.0,375210.67
2423.93,1.0,2.0,1.0,16.0,2.0,292540.23
614.39,1.0,3.0,2.0,20.0,1.0,82557.89
985.51,3.0,3.0,2.0,25.0,1.0,141098.37
,2.0,3.0,1.0,27.0,2.0,130602.68
3363.85,4.0,3.0,2.0,38.0,5.0,418177.88
1914.6,1.0,3.0,2.0,32.0,9.0,317653.4
2788.57,4.0,2.0,2.0,39.0,6.0,
4584.05,4.0,3.0,1.0,18.0,4.0,525730.44
1621.82,2.0,1.0,2.0,28.0,3.0,211695.66
2346.72,3.0,2.0,2.0,19.0,8.0,361158.77
3899.98,2.0,2.0,2.0,19.0,3.0,442098.06
1529.59,1.0,2.0,,9.0,1.0,179259.65
846.41,4.0,3.0,1.0,11.0,4.0,169725.61
1803.88,,1.0,1.0,32.0,5.0,241840.29
1225.5,2.0,3.0,2.0,24.0,5.0,189790.35
4683.64,2.0,2.0,2.0,24.0,5.0,541345.94
4136.54,1.0,2.0,2.0,,8.0,513200.89
3350.32,3.0,2.0,1.0,3.0,8.0,445091.57
4421.57,2.0,2.0,1.0,8.0,4.0,483523.54
,1.0,3.0,2.0,14.0,9.0,534495.26
1339.57,4.0,1.0,2.0,25.0,1.0,155617.6
4516.52,5.0,1.0,1.0,14.0,5.0,541318.93
2927.04,1.0,2.0,2.0,25.0,5.0,373425.08
4133.48,5.0,,2.0,27.0,5.0,476091.92
4532.41,2.0,2.0,1.0,6.0,8.0,571991.17
1931.02,2.0,2.0,1.0,31.0,9.0,302733.29
995.23,1.0,1.0,1.0,11.0,3.0,153092.61
1525.71,5.0,2.0,1.0,,9.0,
2421.99,2.0,1.0,1.0,31.0,8.0,321546.2
4181.07,4.0,2.0,2.0,8.0,3.0,477976.14
4373.29,3.0,1.0,1.0,13.0,2.0,495871.12
531.28,3.0,2.0,1.0,12.0,4.0,110322.28
,2.0,1.0,1.0,43.0,2.0,314845.24
2378.35,5.0,2.0,1.0,32.0,4.0,305876.08
1499.49,2.0,2.0,1.0,31.0,5.0,211709.16
1039.39,5.0,2.0,1.0,18.0,2.0,162152.21
2019.27,4.0,1.0,2.0,29.0,8.0,
4743.09,5.0,3.0,1.0,15.0,1.0,537989.9
1954.41,2.0,2.0,2.0,11.0,3.0,242704.07
,4.0,,2.0,,7.0,393610.5
